gene_id	gene_name	logCPM	logFC	PValue	FDR	location	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000100003	SEC14L2	7.472090987269922	5.373948091119185	1.1906205741591385e-13	1.7334244939182898e-9	22:30396941-30425303:+	protein_coding	23541	1251.0588235294117	55.256723716381416	12.924226617024832	14559	TRUE
ENSG00000165272	AQP3	7.6766418275932216	4.067714626648785	4.505787006827785e-12	3.11908144037399e-8	9:33441156-33447596:-	protein_coding	360	1282.857142857143	58.69710467706013	11.346229341672478	14558	TRUE
ENSG00000182795	C1orf116	4.162778918094712	3.239564013820636	6.42712021507107e-12	3.11908144037399e-8	1:207018522-207032756:-	protein_coding	79098	4321.5	52.55119750086778	11.191983576819997	14557	TRUE
ENSG00000164188	RANBP3L	4.5068784956162675	4.210805768490359	1.2454056171319971e-11	4.532965094956187e-8	5:36246913-36302114:-	protein_coding	202151	2251.75	35.83879205062726	10.904689179819108	14556	TRUE
ENSG00000100906	NFKBIA	7.683240607557148	1.8545744907481743	1.716132224314883e-11	4.9970338107600764e-8	14:35401513-35404749:-	protein_coding	4792	937.9	55.98677897430429	10.765449253737861	14555	TRUE
ENSG00000186526	CYP4F8	4.61975077826707	5.316824213241859	2.4759535382896296e-11	6.007901260659786e-8	19:15615218-15630639:+	protein_coding	11283	1478.1666666666667	54.278949148720265	10.606257509188977	14554	TRUE
ENSG00000096060	FKBP5	7.76290768529857	2.052339997823125	6.648746559640377e-11	1.3828443023114893e-7	6:35573585-35728583:-	protein_coding	2289	4725.25	42.75964234696578	10.177260221394745	14553	TRUE
ENSG00000128641	MYO1B	4.994509423922659	2.3764675407652134	2.0425369636720445e-10	3.173144317308808e-7	2:191245185-191425389:+	protein_coding	4430	1988.8	41.1470903727541	9.689830075322575	14552	TRUE
ENSG00000117009	KMO	5.700160392498152	-1.5636226040803776	2.1759563579657506e-10	3.173144317308808e-7	1:241532134-241595642:+	protein_coding	8564	1611.9	39.605434580308966	-9.662349819306911	1	TRUE
ENSG00000136997	MYC	6.477704510538478	1.8416294396827009	2.1795070522074374e-10	3.173144317308808e-7	8:127735434-127742951:+	protein_coding	4609	1661	54.11198073449731	9.661641721402058	14551	TRUE
ENSG00000047644	WWC3	8.410347395156393	1.5695636357812237	3.8951337557824725e-10	4.832408449114576e-7	X:10015254-10144474:+	protein_coding	55841	3741	54.55760491847103	9.409477624409678	14550	TRUE
ENSG00000143507	DUSP10	5.255031591619682	1.6917473665489922	3.9830277759032153e-10	4.832408449114576e-7	1:221701424-221742089:-	protein_coding	11221	1506.5	45.5028211085297	9.399786664999299	14549	TRUE
ENSG00000156284	CLDN8	4.8773692117278316	3.126071385100155	7.483223772481638e-10	8.380634992581551e-7	21:30214006-30216097:-	protein_coding	9073	2092	37.3326959847036	9.12591126777965	14548	TRUE
ENSG00000213759	UGT2B11	3.2485271353615524	4.395576340562891	9.553260908794977e-10	9.934708969367576e-7	4:69199951-69214748:-	protein_coding	10720	1332.5	38.01125703564729	9.01984836108994	14547	TRUE
ENSG00000188064	WNT7B	5.9346471754411905	2.1787311036292585	1.4009565291090838e-9	1.3597684071532767e-6	22:45920366-45977162:-	protein_coding	7477	1934	64.47776628748704	8.853575340417972	14546	TRUE
ENSG00000174469	CNTNAP2	6.751006114610079	1.145155087021577	4.274264774044282e-9	3.8893138028319186e-6	7:146116002-148420998:+	protein_coding	26047	2169.6666666666665	44.69772622522661	8.369138578488112	14545	TRUE
ENSG00000111666	CHPT1	6.364526804746027	1.5606590059521857	5.609114754548351e-9	4.803711865380555e-6	12:101696947-101744140:+	protein_coding	56994	1402.3	43.50709548598731	8.251105674849224	14544	TRUE
ENSG00000177508	IRX3	7.615962641596195	1.1430885869110745	8.273315954591335e-9	6.475636070846746e-6	16:54283304-54286787:-	protein_coding	79191	1536.3333333333333	64.0269038837058	8.082320389825245	14543	TRUE
ENSG00000151790	TDO2	6.803547888453329	-1.6285387875761235	8.450929689270428e-9	6.475636070846746e-6	4:155854738-155920406:+	protein_coding	6999	1090.625	37.66189111747851	-8.073095511557954	2	TRUE
ENSG00000079691	CARMIL1	6.0941792032425814	1.3615116136847112	1.019910063979706e-8	7.247399278710934e-6	6:25279078-25620530:+	protein_coding	55604	2394.8	45.50693168531817	7.991438122786507	14542	TRUE
ENSG00000127663	KDM4B	6.8356046816782	1.0843854314782757	1.0453697702653314e-8	7.247399278710934e-6	19:4969113-5153598:+	protein_coding	23030	2790.9166666666665	61.08506763010956	7.980730062873029	14541	TRUE
ENSG00000135226	UGT2B28	2.2604745717783055	5.002356500098563	1.1272059334601014e-8	7.459541447838916e-6	4:69280475-69295050:+	protein_coding	54490	1691	39.53282081608513	7.947996733825067	14540	TRUE
ENSG00000101298	SNPH	7.163398387007952	-1.3174986215858016	1.4933128743007812e-8	9.452670494323945e-6	20:1266280-1309328:+	protein_coding	9751	4698.75	61.723862729449344	-7.825849190703086	3	TRUE
ENSG00000241878	PISD	6.160301267172374	1.0747154892101975	1.756498869492461e-8	1.065536126705864e-5	22:31618491-31662432:-	protein_coding	23761	1540.3529411764705	58.313602688459476	7.755352125389942	14539	TRUE
ENSG00000108932	SLC16A6	8.179972026638012	1.122296118161964	2.2491193925975754e-8	1.3081639132006165e-5	17:68267026-68291267:-	protein_coding	9120	2142.8	41.5811088295688	7.6479874897977895	14538	TRUE
